id: 578742921794551808, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578742923753336833, text: RT @Dory: and here we see the leader of our nation greeting Barack Obama http://t.co/7hl2DegEOg
id: 578742932527673345, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578742937049174016, text: RT @Dory: and here we see the leader of our nation greeting Barack Obama http://t.co/7hl2DegEOg
id: 578742941528809473, text: RT @PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/VIgPn960pW
id: 578742941860175872, text: Obama ordena reducir gases de invernadero\n\nEl presidente Barack Obama emite una orden ejecutiva para implementar r\u2026 http://t.co/fO7eDGFkBe
id: 578742942019506176, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578742945026732034, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578742949665599488, text: RT @PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/VIgPn960pW
id: 578742951578193920, text: RT @PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/VIgPn960pW
id: 578742954682122240, text: RT @CooITweetsHere: and here we see the leader of our nation greeting Barack Obama http://t.co/W7CnszdQNt
id: 578742955994804225, text: RT @PresidentRaps: Barack Obama singing shake it off by Taylor Swift. http://t.co/VIgPn960pW
id: 578742972868534274, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
id: 578742976198930432, text: #ObamaDerogaElDecretoYa Lanzan campa\u00f1a nacional que busca derogar el decreto firmado por Barack Obama - http://t.co/vg40xys1IG
id: 578742979482906626, text: RT @PresidentRaps: Barack Obama singing popped a Molly http://t.co/u4JfF1LNgr
id: 578742981072670720, text: RT @HiIarlous: Barack Obama singing shake it off by Taylor Swift. http://t.co/55Vm1QvlrG
